pid	name	title	year	publisher	ptype_original	ptype_recommended	ptype_blind	blind_confidence	agreement	final_recommendation	blind_evidence
publication:bencom:6ad135d927c36b7f	金井, 高志	民法でみる法律学習法 知識を整理するためのロジカルシンキング［第2版］	2021	日本評論社	scholar	lawyer_practitioner	lawyer_practitioner	medium	confirms_correction	lawyer_practitioner	金井高志氏は弁護士（フランテック法律事務所 代表）であり、知的財産・IT関連法務を専門とする実務法律家。武蔵野大学法学部教授も務め大学院で教鞭をとった経歴があり、scholar的側面も持つが、主たる肩書・本来のキャリアの中心は弁護士登録の実務法律家であると認識している。著書「民法でみる法律学習法」も実務家が学習者向けに執筆したロジカルシンキング書であり、出版社（日本評論社）も法律実務・学習書を多く扱う。主たる職業を弁護士と判断し lawyer_practitioner とした（ただし大学教授肩書も有するため scholar の可能性も否定できず confidence は medium）。
publication:bencom:83254510e2b65101	高橋 健	改訂版 元厚生労働事務官が解説する 職場のうつと労災認定の仕組み	2019	日本法令	lawyer_practitioner	other	other	high	confirms_correction	other	著作タイトル自体が「元厚生労働事務官が解説する」と明記しており、著者は厚生労働省の元行政官(事務官・官僚)である。テーマも労災認定・職場のうつという労働行政の実務分野で、官僚としての行政経験に基づく解説書である。弁護士・司法書士等の実務法律家資格や、大学教員・研究者としての肩書、裁判官・検察官としての経歴を示す材料はない。したがって官僚(元公務員)として person_type は other と判定する。
publication:bencom:8c26bfb9410ca5bd	時井 真	特許法における進歩性要件	2023	信山社	lawyer_practitioner	scholar	lawyer_practitioner	high	reverts_to_original	lawyer_practitioner	時井真(ときい しん)は杉村萬国特許法律事務所(SUGIMURA & Partners)に所属する弁理士。専門は特許法の進歩性要件で、中国・ドイツ留学を経て日本・中国・ドイツ・EPO・米国の裁判例を比較分析する研究的著作(『特許法における進歩性要件』信山社2023、『プラクティス知的財産法〈特許法〉』等)を多数発表している。大学専任教員としての肩書は確認できず、特許法律事務所に所属する実務法律家(弁理士)であるため lawyer_practitioner と判定。学術的著作が多いが本務は弁理士。
publication:bencom:928317aac37de06b	小泉 直樹	プレップ知的財産法	2019	弘文堂	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	小泉直樹は慶應義塾大学大学院法務研究科(法科大学院)教授で、知的財産法(著作権法・不正競争防止法など)を専門とする法学者。以前は上智大学法学部教授を務めた。「知的財産法」「プレップ知的財産法」など知的財産法の標準的教科書を多数執筆し、政府の知的財産関連審議会委員等も務める。主たる肩書は大学教員であり scholar に該当する。
publication:bencom:a9c46d87c8e51149	平田 厚	判決例・審判例にみる 婚姻外関係 保護基準の判断－不当解消・財産分与・死亡解消等－	2018	新日本法規出版	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	平田厚は明治大学法科大学院・法学部の教授であり、家族法・成年後見・障害者福祉法等を専門とする法学者。弁護士登録もしているが、主たる肩書は大学教員であるため scholar と判定。婚姻外関係・財産分与・離婚等を扱う本著作も同氏の家族法研究分野と整合する。
publication:bencom:aaa2dcf2f88ac7a9	戸塚, 悦朗	外国人のヒューマンライツ	2023	日本評論社	scholar	lawyer_practitioner	lawyer_practitioner	medium	confirms_correction	lawyer_practitioner	戸塚悦朗は弁護士(1973年弁護士登録)であり、国連人権活動・精神障害者の人権擁護や「慰安婦」問題などの人権問題で著名な実務家・人権活動家。日本国際法律家協会等で活動し、国連人権委員会等で日本の人権問題を提起したことで知られる。後年に龍谷大学法科大学院教授(国際人権法)も務めたため scholar の側面もあるが、職業的アイデンティティの基盤は弁護士・人権活動家であり、また「外国人のヒューマンライツ」(日本評論社, 2023)など人権実務に根差した著作が中心であることから lawyer_practitioner と判断。龍谷大学教授歴を重視すれば scholar とも評価しうる点で confidence は medium。
publication:bencom:c94cc39b33805817	平田 厚	〔改正相続法対応〕Ｑ＆Ａ 相続財産をめぐる第三者対抗要件	2019	新日本法規出版	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	平田厚は明治大学法科大学院教授であり、同時に弁護士登録もしている。早稲田大学法学部卒業後、弁護士として活動し、成年後見・高齢者福祉・相続・障害者法制などの分野で実務と研究を行ってきた。現在の主たる肩書は大学教員（明治大学専門職大学院法務研究科教授）であるため、judgment基準に従い scholar と判定する。本著作の相続法分野も彼の専門領域と一致する。
publication:bencom:cd154913c8f57ca5	山本 和彦	解説 消費者裁判手続特例法 第3版	2023	弘文堂	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	山本和彦は一橋大学大学院法学研究科教授で、民事訴訟法・倒産法・消費者法を専門とする著名な法学者。消費者裁判手続特例法は彼の専門分野そのものであり、本書もその学術的解説書。法制審議会等の委員も務める研究者であるため scholar と判定。
publication:bencom:cfc737ae1179191a	Hamabe, Yoichiro	スピード解説 民法＜債権法＞改正がわかる本	2015	東洋経済新報社	scholar	lawyer_practitioner	lawyer_practitioner	high	confirms_correction	lawyer_practitioner	濱辺陽一郎（Hamabe Yoichiro）は弁護士（東京弁護士会所属、八重洲総合法律事務所）であり、企業法務・会社法・金融法などを専門とする実務法律家。同時に青山学院大学法務研究科（法科大学院）の教授も務めていたが、本人のキャリアの主たる基盤は弁護士としての実務にあり、米国弁護士資格も有する。「スピード解説 民法債権法改正がわかる本」等、実務家・一般向けの解説書を多数執筆。大学教員も兼ねるが、本来は実務家（弁護士）であるため lawyer_practitioner と判定した（なお大学専任教授としての側面を重視すれば scholar とも評価しうる）。
publication:bencom:cfc737ae1179191a	浜辺, 陽一郎	スピード解説 民法＜債権法＞改正がわかる本	2015	東洋経済新報社	scholar	lawyer_practitioner	scholar	high	reverts_to_original	scholar	浜辺陽一郎は弁護士(日本およびニューヨーク州登録)であると同時に、青山学院大学大学院法務研究科(法科大学院)の教授を務める法学者である。会社法・コンプライアンス・商法分野を専門とし、一般向けの法律解説書を多数執筆している(本著作「スピード解説 民法＜債権法＞改正がわかる本」もその一例)。弁護士登録もあるが、主たる肩書は大学専任教員(教授)であるため、判定基準に従い scholar と判定する。
publication:bencom:da4335f54fdf4027	高橋 健	3訂版 元厚生労働事務官が解説する 労災保険実務講座	2024	日本法令	lawyer_practitioner	other	other	medium	confirms_correction	other	著作タイトルに「元厚生労働事務官が解説する」と明記されており、著者は元厚生労働省の事務官(官僚)である。事務官は弁護士・裁判官・検察官・大学教員のいずれにも該当しない行政官であり、本書も労災保険の実務解説書(日本法令刊の実務書)であることと整合する。よってotherと判定。なお同名人物が複数存在する可能性はあるが、提示された著作の肩書に基づけば官僚出身の実務家であり、scholar・lawyer_practitioner・judge・prosecutorのいずれにも当たらない。
publication:bencom:de80f9dfed310ba2	金井, 高志	民法でみる法律学習法［第3版］	2024	日本評論社	scholar	lawyer_practitioner	scholar	high	reverts_to_original	scholar	金井高志氏は弁護士（フランテック法律事務所）であると同時に、武蔵野大学法学部教授（同大学院法学研究科教授、法学部長等を歴任）を務める法学者である。慶應義塾大学法科大学院でも教鞭をとった経歴がある。「民法でみる法律学習法」は法学教育・学習法をテーマとする教育書であり、その内容も大学教員としての立場を反映している。弁護士登録もあるが、大学専任教員（教授）として継続的に研究・教育を行っているため、主たる肩書は大学教員と判断し scholar に分類する。
publication:bencom:de88bd796f0e0d95	圓山, 茂夫	詳解 特定商取引法の理論と実務〔第5版〕	2024	民事法研究会	scholar	lawyer_practitioner	scholar	high	reverts_to_original	scholar	圓山茂夫氏は明治学院大学法学部教授(消費者法・特定商取引法を専門とする法学者)。元・国民生活センターの職員(相談調査部等)を経て大学教員に転じた経歴を持つ。代表作「詳解 特定商取引法の理論と実務」(民事法研究会)は消費者保護法分野の定番書で、消費者法研究者としての主たる肩書は大学教員。よって scholar と判定。
publication:bencom:e0750296804b9363	圓山, 茂夫	詳解 特定商取引法の理論と実務〔第4版〕	2018	民事法研究会	scholar	lawyer_practitioner	scholar	high	reverts_to_original	scholar	圓山茂夫は明治学院大学法学部教授(消費者法・特定商取引法専攻)。国民生活センター等での消費者行政の実務経験を経て大学専任教員となった研究者。著書「詳解 特定商取引法の理論と実務」は消費者法分野の代表的体系書であり、民事法研究会という法律専門書出版社から刊行されている。主たる肩書が大学教員であるため scholar と判定。
publication:bencom:ee2bd7fd9f074b53	阿部 高明	逐条解説 特定商取引法 第Ⅱ巻	2022	青林書院	lawyer_practitioner	judge	uncertain	low	third_option	uncertain	「逐条解説 特定商取引法 第Ⅱ巻」(青林書院, 2022)は、特定商取引法の逐条解説書で、消費者法・行政法分野の実務家・行政官・研究者が共同で執筆することが多い書籍である。「阿部高明」という人物について、確実に同定できる経歴情報を私は保持しておらず、大学教員(scholar)、弁護士(lawyer_practitioner)、消費者庁等の行政官(other)のいずれであるか確証が持てない。この種の逐条解説には消費者庁・経済産業省など所管官庁の出身者や担当官が関与する例が多いが、それは推測にとどまる。判定材料が不足しているため uncertain と判断する(以上は著作テーマと出版社からの慎重な推定を含む)。
publication:bencom:f34d18cfbf0c8acf	牧野, 和夫	初めての人のための契約書の実務〈第４版〉	2022	中央経済社	scholar	lawyer_practitioner	lawyer_practitioner	high	confirms_correction	lawyer_practitioner	牧野和夫氏は、日本の弁護士であり米国弁護士(ミシガン州)資格も持つ実務法律家。GE、マツダ、レノボ等の企業法務部門での勤務を経て、知的財産・国際取引・契約実務を専門とする。「初めての人のための契約書の実務」をはじめ契約・英文契約・知財関連の実務書を多数執筆。大宮法科大学院や尚美学園大学等で客員教授・非常勤講師を務めた経歴もあるが、これらは兼任であり主たる肩書は弁護士(実務家)であるため lawyer_practitioner と判定。出版社(中央経済社)および著作テーマ(契約書実務)も実務家としての性格と整合する。
publication:bencom:f3c0c72801f2938a	平田 厚	事例にみる 遺言能力判断の考慮要素	2023	新日本法規出版	lawyer_practitioner	scholar	scholar	high	confirms_correction	scholar	平田厚は弁護士であると同時に明治大学法科大学院（法務研究科）教授を務める法学者。元々は弁護士として成年後見・高齢者財産管理・消費者問題等の実務に携わってきたが、明治大学の専任教授に就任しており、主たる肩書は大学教員。著作「事例にみる遺言能力判断の考慮要素」(新日本法規, 2023)も成年後見・遺言能力という同氏の専門分野と一致する。大学専任教員であるため scholar と判定。なお弁護士登録も維持しているが、専任教授であることを重視した。
